Palabra,Cuenta
oh,10
boy,4
sleep,4
that's,6
where,5
i'm,18
a,29
viking,4
i,48
hope,5
didn't,5
brain,5
my,21
damage,5
all,7
gonna,7
use,8
this,8
bed,3
for,7
is,10
sleeping,3
eating,3
and,20
maybe,5
building,3
little,3
fort,3
these,5
are,8
only,5
friendsgrownup,5
nerds,5
like,8
gore,5
vidal,5
even,8
he's,5
kissed,5
more,5
boys,5
than,7
ever,8
will,8
hey,1
the,28
chief,1
here,1
bake,1
him,1
away,1
toys,1
can't,3
we,3
have,3
one,3
meeting,1
that,10
doesn't,1
end,1
with,11
us,1
digging,1
up,1
corpse,1
in,6
theory,2
communism,1
works,1
gah,2
stupid,2
sexy,2
flanders,2
think,6
women,2
seamen,2
don't,7
mix,2
used,2
to,17
be,6
it,11
but,2
then,4
they,2
changed,2
what,6
was,10
now,2
isn't,2
what's,2
seems,2
scary,2
wierd,2
it'll,2
happen,2
you,15
inflammable,2
means,2
flammable,2
country,2
once,2
someone,5
call,2
me,10
sir,2
without,5
adding,2
you're,5
making,3
scene,2
hello,2
simpson,2
riding,2
bus,2
today,2
becuase,2
mother,2
hid,2
car,2
keys,2
punish,2
talking,2
woman,2
on,6
phone,2
she,2
right,2
do,2
yeah,2
ahh,3
sweet,3
liquor,3
eases,3
pain,3
hi,2
super,2
nintendo,2
chalmers,2
wow,4
windows,4
could,6
afford,4
place,4
shoplifting,3
victimless,3
crime,3
punching,3
dark,3
thank,1
come,1
again,1
well,4
better,2
dirt,6
most,2
kinds,2
of,6
mean,2
not,3
fancy,2
store,2
bought,2
stuffs,2
loaded,2
nutrients,2
compete,2
stuff,2
when,6
look,1
at,1
people,1
see,2
colors,1
just,1
crackpot,1
religions,1
ah,1
creative,1
instead,2
sandwhiches,1
bread,1
poptarts,1
chewing,1
gum,1
chew,1
bacon,1
catch,2
pull,2
out,3
your,6
eyes,2
stick,2
'em,2
down,2
pants,2
so,2
can,3
watch,2
kick,2
crap,2
outta,2
okay,2
next,2
tongue,2
paint,2
boat,2
turning,3
into,3
criminal,3
want,3
petty,3
thug,3
remember,1
time,1
he,1
ate,1
goldfish,2
lied,1
said,1
never,1
had,2
why,3
did,2
bowl,2
bart,1
snack,1
holder,1
put,1
beverage,1
or,1
if,1
cupcake,1
pleople,1
avoiding,1
does,1
withered,1
face,1
remind,1
grim,1
specter,1
death,1
back,1
edinburg,1
coal,1
miners,1
strike,1
wanted,1
were,1
hats,1
wee,1
light,1
top,1
day,1
mine,1
collapsed,1
no,1
made,1
alive,1
willie,1
eat,1
shorts,1
last,3
night's,3
'itchy,1
scratchy',1
doubt,3
worst,3
episode,3
rest,3
assured,3
internet,3
within,3
minutes,3
registering,3
disgust,3
throughout,3
world,3
itchy,2
,2
scratchy,2
facts,4
meaningless,2
prove,2
anything,2
remotely,2
true,2
